Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
-1.25,0.00,0.00,0.00,-72.00,-72.00,0,0
-1.46,0.00,0.00,0.00,-59.00,-59.00,0,0
-1.72,0.00,0.00,0.00,-49.00,-49.00,0,0
-1.96,0.00,0.00,0.00,-41.00,-41.00,1,1
-2.11,0.00,0.00,0.00,-34.00,-34.00,2,1
-2.23,0.00,0.00,0.00,-32.00,-32.00,3,2
-2.33,0.00,0.00,0.00,0.00,0.00,3,2
-2.31,0.00,0.00,0.00,0.00,0.00,3,2
-2.31,0.00,0.00,0.00,0.00,0.00,3,2
-2.36,0.00,0.00,0.00,0.00,0.00,3,2
-2.40,0.00,0.00,0.00,0.00,0.00,3,2
-2.46,0.00,0.00,0.00,0.00,0.00,3,2
-2.52,0.00,0.00,0.00,0.00,0.00,3,2
-2.56,0.00,0.00,0.00,0.00,0.00,3,2
-2.60,0.00,0.00,0.00,0.00,0.00,3,2
-2.61,0.00,0.00,0.00,0.00,0.00,3,2
-2.62,0.00,0.00,0.00,0.00,0.00,3,2
-2.62,0.00,0.00,0.00,0.00,0.00,3,2
-2.61,0.00,0.00,0.00,0.00,0.00,3,2
-2.62,0.00,0.00,0.00,0.00,0.00,3,2
-2.64,0.00,0.00,0.00,0.00,0.00,3,2
-2.69,0.00,0.00,0.00,0.00,0.00,3,2
-2.73,0.00,0.00,0.00,39.00,39.00,3,2
-2.80,0.00,0.00,0.00,42.00,42.00,3,2
-2.84,0.00,0.00,0.00,43.00,43.00,3,2
-2.94,0.00,0.00,0.00,46.00,46.00,2,1
-2.65,0.00,0.00,0.00,0.00,0.00,1,0
-2.46,0.00,0.00,0.00,0.00,0.00,1,0
-2.43,0.00,0.00,0.00,0.00,0.00,0,0
-2.44,0.00,0.00,0.00,0.00,0.00,0,-1
-2.54,0.00,0.00,0.00,0.00,0.00,0,-1
-2.54,0.00,0.00,0.00,0.00,0.00,0,-1
-2.54,0.00,0.00,0.00,0.00,0.00,0,-1
-2.54,0.00,0.00,0.00,0.00,0.00,0,-1
-2.53,0.00,0.00,0.00,0.00,0.00,0,-1
-2.55,0.00,0.00,0.00,0.00,0.00,0,-1
-2.55,0.00,0.00,0.00,0.00,0.00,0,-1
-2.56,0.00,0.00,0.00,0.00,0.00,0,-1
-2.58,0.00,0.00,0.00,0.00,0.00,0,-1
-2.60,0.00,0.00,0.00,0.00,0.00,0,-1
-2.64,0.00,0.00,0.00,0.00,0.00,0,-1
-2.67,0.00,0.00,0.00,0.00,0.00,0,-1
-2.71,0.00,0.00,0.00,37.00,37.00,0,-1
-2.69,0.00,0.00,0.00,0.00,0.00,0,-1
-2.76,0.00,0.00,0.00,38.00,38.00,0,-1
-2.81,0.00,0.00,0.00,41.00,41.00,0,-1
-2.76,0.00,0.00,0.00,37.00,37.00,0,-1
-2.76,0.00,0.00,0.00,37.00,37.00,0,-1
-2.78,0.00,0.00,0.00,38.00,38.00,0,-1
-2.82,0.00,0.00,0.00,41.00,41.00,0,-1
-2.82,0.00,0.00,0.00,41.00,41.00,0,0
-2.88,0.00,0.00,0.00,44.00,44.00,0,0
-2.93,0.00,0.00,0.00,45.00,45.00,0,0
-2.90,0.00,0.00,0.00,45.00,45.00,0,0
-2.90,0.00,0.00,0.00,45.00,45.00,0,0
-2.96,0.00,0.00,0.00,48.00,48.00,0,0
-3.07,0.00,0.00,0.00,52.00,52.00,0,0
-3.06,0.00,0.00,0.00,52.00,52.00,0,0
-3.08,0.00,0.00,0.00,52.00,52.00,0,0
-3.11,0.00,0.00,0.00,52.00,52.00,0,0
-3.07,0.00,0.00,0.00,50.00,50.00,0,0
-3.00,0.00,0.00,0.00,48.00,48.00,0,-1
-2.92,0.00,0.00,0.00,45.00,45.00,0,-1
-2.90,0.00,0.00,0.00,45.00,45.00,0,-1
-2.85,0.00,0.00,0.00,45.00,45.00,0,-1
-2.91,0.00,0.00,0.00,47.00,47.00,0,-2
-2.97,0.00,0.00,0.00,49.00,49.00,0,-2
-3.00,0.00,0.00,0.00,49.00,49.00,0,-2
-2.95,0.00,0.00,0.00,46.00,46.00,0,-2
-2.86,0.00,0.00,0.00,44.00,44.00,0,-2
-2.86,0.00,0.00,0.00,43.00,43.00,0,-2
-2.83,0.00,0.00,0.00,42.00,42.00,0,-2
-2.76,0.00,0.00,0.00,39.00,39.00,0,-2
-2.71,0.00,0.00,0.00,37.00,37.00,0,-2
-2.57,0.00,0.00,0.00,0.00,0.00,0,-2
-2.49,0.00,0.00,0.00,0.00,0.00,0,-2
-2.40,0.00,0.00,0.00,0.00,0.00,0,-2
-2.28,0.00,0.00,0.00,0.00,0.00,0,-2
-2.09,0.00,0.00,0.00,-47.00,-47.00,0,-2
-1.80,0.00,0.00,0.00,-63.00,-63.00,0,-1
-1.24,0.00,0.00,0.00,-90.00,-90.00,0,-1
-1.06,0.01,0.12,0.17,-97.00,-97.00,1,1
-1.03,0.02,0.20,0.31,-87.00,-87.00,2,2
-1.24,0.03,0.40,0.50,-84.00,-84.00,4,4
-1.04,0.04,0.58,0.69,-114.00,-114.00,7,7
-1.05,0.05,0.76,0.88,-118.00,-118.00,9,10
-1.14,0.07,0.99,1.15,-126.00,-126.00,13,14
-1.26,0.09,1.27,1.44,-135.00,-135.00,17,18
-1.48,0.11,1.60,1.77,-145.00,-145.00,22,24
