Theta_now,V_trans,Lmot_RPM,Rmot_RPM,Output_lmot,Output_rmot,DN_Lmot,DN_Rmot
-2.22,0.00,0.00,0.00,-37.00,-37.00,0,0
-2.27,0.00,0.00,0.00,-35.00,-35.00,0,0
-2.33,0.00,0.00,0.00,0.00,0.00,0,0
-2.39,0.00,0.00,0.00,0.00,0.00,0,0
-2.37,0.00,0.00,0.00,0.00,0.00,0,0
-2.37,0.00,0.00,0.00,0.00,0.00,0,0
-2.38,0.00,0.00,0.00,0.00,0.00,0,0
-2.36,0.00,0.00,0.00,0.00,0.00,0,0
-2.33,0.00,0.00,0.00,0.00,0.00,0,0
-2.30,0.00,0.00,0.00,0.00,0.00,0,0
-2.27,0.00,0.00,0.00,-37.00,-37.00,0,0
-2.26,0.00,0.00,0.00,-36.00,-36.00,1,0
-2.29,0.00,0.00,0.00,-35.00,-35.00,1,0
-2.57,0.00,0.00,0.00,0.00,0.00,2,0
-2.64,0.00,0.00,0.00,0.00,0.00,2,0
-2.64,0.00,0.00,0.00,0.00,0.00,2,1
-2.61,0.00,0.00,0.00,0.00,0.00,2,1
-2.63,0.00,0.00,0.00,0.00,0.00,2,1
-2.62,0.00,0.00,0.00,0.00,0.00,2,1
-2.63,0.00,0.00,0.00,0.00,0.00,2,1
-2.62,0.00,0.00,0.00,0.00,0.00,2,1
-2.61,0.00,0.00,0.00,0.00,0.00,2,1
-2.60,0.00,0.00,0.00,0.00,0.00,2,1
-2.58,0.00,0.00,0.00,0.00,0.00,2,1
-2.56,0.00,0.00,0.00,0.00,0.00,2,1
-2.54,0.00,0.00,0.00,0.00,0.00,2,1
-2.52,0.00,0.00,0.00,0.00,0.00,2,1
-2.50,0.00,0.00,0.00,0.00,0.00,2,1
-2.48,0.00,0.00,0.00,0.00,0.00,2,1
-2.46,0.00,0.00,0.00,0.00,0.00,2,1
-2.45,0.00,0.00,0.00,0.00,0.00,2,1
-2.43,0.00,0.00,0.00,0.00,0.00,2,1
-2.42,0.00,0.00,0.00,0.00,0.00,2,1
-2.41,0.00,0.00,0.00,0.00,0.00,2,1
-2.39,0.00,0.00,0.00,0.00,0.00,2,1
-2.37,0.00,0.00,0.00,0.00,0.00,2,1
-2.35,0.00,0.00,0.00,0.00,0.00,2,1
-2.33,0.00,0.00,0.00,0.00,0.00,2,1
-2.30,0.00,0.00,0.00,0.00,0.00,2,1
-2.27,0.00,0.00,0.00,-37.00,-37.00,2,1
-2.21,0.00,0.00,0.00,-39.00,-39.00,2,1
-2.14,0.00,0.00,0.00,-41.00,-41.00,2,1
-2.12,0.00,0.00,0.00,-40.00,-40.00,3,1
-2.16,0.00,0.00,0.00,-38.00,-38.00,3,2
-2.05,0.00,0.00,0.00,-43.00,-43.00,3,3
-2.08,0.00,0.00,0.00,-41.00,-41.00,3,3
-2.15,0.00,0.00,0.00,-37.00,-37.00,3,4
-2.19,0.00,0.00,0.00,-37.00,-37.00,3,4
-2.25,0.00,0.00,0.00,-35.00,-35.00,4,5
-2.33,0.00,0.00,0.00,0.00,0.00,4,5
-2.30,0.00,0.00,0.00,0.00,0.00,0,0
-2.31,0.00,0.00,0.00,0.00,0.00,0,0
-2.32,0.00,0.00,0.00,0.00,0.00,0,0
-2.35,0.00,0.00,0.00,0.00,0.00,0,0
-2.37,0.00,0.00,0.00,0.00,0.00,0,0
-2.42,0.00,0.00,0.00,0.00,0.00,0,0
-2.47,0.00,0.00,0.00,0.00,0.00,0,0
-2.52,0.00,0.00,0.00,0.00,0.00,0,0
-2.54,0.00,0.00,0.00,0.00,0.00,0,0
-2.58,0.00,0.00,0.00,0.00,0.00,0,0
-2.61,0.00,0.00,0.00,0.00,0.00,0,0
-2.63,0.00,0.00,0.00,0.00,0.00,0,0
-2.64,0.00,0.00,0.00,0.00,0.00,0,0
-2.65,0.00,0.00,0.00,0.00,0.00,0,0
-2.67,0.00,0.00,0.00,0.00,0.00,0,0
-2.67,0.00,0.00,0.00,0.00,0.00,0,0
-2.67,0.00,0.00,0.00,0.00,0.00,0,0
-2.67,0.00,0.00,0.00,0.00,0.00,0,0
-2.66,0.00,0.00,0.00,0.00,0.00,0,0
-2.66,0.00,0.00,0.00,0.00,0.00,0,0
-2.66,0.00,0.00,0.00,0.00,0.00,0,0
-2.66,0.00,0.00,0.00,0.00,0.00,0,0
-2.67,0.00,0.00,0.00,0.00,0.00,0,0
-2.68,0.00,0.00,0.00,0.00,0.00,0,0
-2.70,0.00,0.00,0.00,38.00,38.00,0,0
-2.72,0.00,0.00,0.00,39.00,39.00,0,0
-2.79,0.00,0.00,0.00,43.00,43.00,0,0
-2.89,0.00,0.00,0.00,47.00,47.00,-1,-1
-2.61,0.00,0.00,0.00,36.00,36.00,-2,-1
-2.40,0.00,0.00,0.00,0.00,0.00,-3,-2
-2.21,0.00,0.00,0.00,0.00,0.00,-3,-3
-2.22,0.00,0.00,0.00,0.00,0.00,-4,-3
-2.36,0.00,0.00,0.00,0.00,0.00,-4,-3
-2.48,0.00,0.00,0.00,0.00,0.00,-4,-3
-2.56,0.00,0.00,0.00,41.00,41.00,-4,-3
-2.56,0.00,0.00,0.00,40.00,40.00,-4,-3
-2.59,0.00,0.00,0.00,39.00,39.00,-4,-4
-2.54,0.00,0.00,0.00,37.00,37.00,-4,-4
-2.49,0.00,0.00,0.00,0.00,0.00,-4,-4
-2.51,0.00,0.00,0.00,0.00,0.00,-4,-4
-2.49,0.00,0.00,0.00,0.00,0.00,-4,-4
-2.44,0.00,0.00,0.00,0.00,0.00,-4,-4
-2.39,0.00,0.00,0.00,0.00,0.00,-4,-4
-2.32,0.00,0.00,0.00,0.00,0.00,-4,-4
-2.23,0.00,0.00,0.00,0.00,0.00,-4,-4
-2.15,0.00,0.00,0.00,0.00,0.00,-4,-4
-2.04,0.00,0.00,0.00,-40.00,-40.00,-4,-4
-1.99,0.00,0.00,0.00,-43.00,-43.00,-4,-4
-1.87,0.00,0.00,0.00,-47.00,-47.00,-3,-3
-1.74,0.00,0.00,0.00,-53.00,-53.00,-2,-2
-2.36,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.61,0.00,0.00,0.00,0.00,0.00,-1,-1
-2.75,0.00,0.00,0.00,46.00,46.00,0,-1
-2.64,0.00,0.00,0.00,0.00,0.00,0,-1
-2.54,0.00,0.00,0.00,0.00,0.00,0,-1
-2.46,0.00,0.00,0.00,0.00,0.00,0,-1
-2.40,0.00,0.00,0.00,0.00,0.00,0,-1
-2.38,0.00,0.00,0.00,0.00,0.00,0,-1
-2.40,0.00,0.00,0.00,0.00,0.00,0,-1
-2.51,0.00,0.00,0.00,0.00,0.00,0,-1
-2.56,0.00,0.00,0.00,0.00,0.00,0,-1
-2.65,0.00,0.00,0.00,40.00,40.00,0,-1
-2.70,0.00,0.00,0.00,42.00,42.00,-1,-1
-2.80,0.00,0.00,0.00,46.00,46.00,-1,-2
-2.77,0.00,0.00,0.00,45.00,45.00,-2,-2
-2.30,-0.00,-0.13,0.00,0.00,0.00,-3,-3
-1.98,-0.01,-0.16,0.00,-51.00,-51.00,-4,-3
-1.78,-0.00,-0.14,0.00,-52.00,-52.00,-4,-4
-1.85,-0.00,-0.11,0.00,-45.00,-45.00,-3,-3
-2.31,0.00,0.00,0.00,0.00,0.00,-3,-3
-2.60,0.00,0.00,0.00,48.00,48.00,-2,-2
-2.82,0.00,0.00,0.00,52.00,52.00,-2,-3
-2.93,0.00,0.00,0.00,52.00,52.00,-2,-3
-2.55,0.00,0.00,0.00,-32.00,-32.00,-3,-4
-2.18,0.00,0.00,0.00,0.00,0.00,-3,-4
-1.98,0.00,0.00,0.00,-46.00,-46.00,-3,-4
-1.96,0.00,0.00,0.00,-43.00,-43.00,-3,-4
-2.02,0.00,0.00,0.00,-39.00,-39.00,-2,-3
-2.40,0.00,0.00,0.00,0.00,0.00,-2,-2
-2.54,0.00,0.00,0.00,0.00,0.00,-1,-2
